Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0155117897181914,2.42861286636753E-17,0.000458340027840073,0,0,0,6.12949484220238,0.0357726630771341,4.9181193647426E-19,-0.00048930434128725,0.10943725731452,2.83926822363752E-18,0.13646430714546,0,0,0,0,0,0,package://sixlegdog/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://sixlegdog/meshes/base_link.STL,,机身1-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rfl1,-0.00131447196887721,0,-4.33680868994202E-19,0,0,0,0.21339111019876,0.000212195730561603,5.64336725059794E-33,5.25850372354602E-21,0.000126083276152751,-4.05073022202331E-36,0.000126083276152751,0,0,0,0,0,0,package://sixlegdog/meshes/rfl1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/rfl1.STL,,RF-1/简化L1-1,坐标系1,基准轴1,rfj1,continuous,0.21939,-0.09,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
rfl2,-6.53211652337782E-07,0.0322176779917884,-0.00392709303280481,0,0,0,0.245758754787811,0.000238439384801562,-2.86111393945592E-09,-1.95556496839461E-08,0.000321093275197929,-1.70102103136206E-05,0.000144404740154476,0,0,0,0,0,0,package://sixlegdog/meshes/rfl2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/rfl2.STL,,RF-1/简化L2-2;RF-1/简化L3-4,坐标系2,基准轴2,rfj2,continuous,0.06575,-0.0385,0,0,0,0,rfl1,0,1,0,,,,,,,,,,,,
rfl3,-1.38777878078145E-17,-2.77555756156289E-17,-0.134485646148589,0,0,0,0.0121471500234649,6.98429465120902E-05,-5.13095482549819E-15,-1.51259056659269E-20,7.00586529163539E-05,-1.03053959049392E-20,2.02504146274256E-06,0,0,0,0,0,0,package://sixlegdog/meshes/rfl3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/rfl3.STL,,RF-1/简化L4-3,坐标系3,基准轴3,rfj3,continuous,0,-0.02875,-0.216,0,0,0,rfl2,0,-1,0,,,,,,,,,,,,
lfl5,-0.00131447196887721,0,8.67361737988404E-19,0,0,0,0.21339111019876,0.000212195730561603,-3.79046707337547E-33,-4.6048544265113E-21,0.000126083276152751,1.19823953896828E-36,0.000126083276152751,0,0,0,0,0,0,package://sixlegdog/meshes/lfl5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/lfl5.STL,,LF-1/简化L1-1,坐标系5,基准轴5,lfj5,continuous,0.21939,0.09,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
lfl6,6.54397969868104E-07,-0.0322176779917884,-0.00392709813580003,0,0,0,0.245758754787811,0.000238439384801562,-2.80279583930033E-09,1.9555649683938E-08,0.000321093275197929,1.70102109255241E-05,0.000144404740154477,0,0,0,0,0,0,package://sixlegdog/meshes/lfl6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/lfl6.STL,,LF-1/简化L2-2;LF-1/简化L3-4,坐标系6,基准轴6,lfj6,continuous,0.06575,0.0385,0,0,0,0,lfl5,0,-1,0,,,,,,,,,,,,
lfl7,-0.000152488307947535,-3.2612801348364E-14,-0.134485559698129,0,0,0,0.0121471500234535,6.98428593223182E-05,-5.13096259817484E-15,-7.68961629128776E-08,7.00586529163586E-05,-3.06225179451505E-18,2.02512865251899E-06,0,0,0,0,0,0,package://sixlegdog/meshes/lfl7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/lfl7.STL,,LF-1/简化L4-3,坐标系7,基准轴7,lfj7,continuous,0,0.02875,-0.216,0,0,0,lfl6,0,1,0,,,,,,,,,,,,
rml9,0.00131447196887718,0,1.73472347597681E-18,0,0,0,0.21339111019876,0.000212195730561602,9.07168593499549E-21,1.18814763899347E-20,0.000126083276152751,-5.94531996850467E-37,0.000126083276152751,0,0,0,0,0,0,package://sixlegdog/meshes/rml9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/rml9.STL,,RM-2/简化L1-1,坐标系9,基准轴9,rmj9,continuous,0.05025,-0.09,0,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
rml10,-6.54397968535836E-07,0.0322176779917887,-0.00392709813580057,0,0,0,0.245758754787811,0.000238439384801563,-2.80279583930907E-09,-1.95556496839354E-08,0.000321093275197929,-1.70102109255241E-05,0.000144404740154477,0,0,0,0,0,0,package://sixlegdog/meshes/rml10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/rml10.STL,,RM-2/简化L2-2;RM-2/简化L3-4,坐标系10,基准轴10,rmj10,continuous,-0.06575,-0.0385,0,0,0,0,rml9,0,1,0,,,,,,,,,,,,
rml11,-5.55111512312578E-17,0,-0.134485646148589,0,0,0,0.0121471500234649,6.98429465120904E-05,-5.13095471285085E-15,-1.97267429069404E-20,7.00586529163541E-05,1.26968806580368E-22,2.02504146274256E-06,0,0,0,0,0,0,package://sixlegdog/meshes/rml11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://sixlegdog/meshes/rml11.STL,,RM-2/简化L4-3,坐标系11,基准轴11,rmj11,continuous,0,-0.02875,-0.216,0,0,0,rml10,0,-1,0,,,,,,,,,,,,
